Days,First Reading,Second Reading,Psalm
Day 35,Exodus 13-14,Leviticus 10,Psalm 53
Day 36,Exodus 15-16,Leviticus 11,Psalm 71
Day 37,Exodus 17-18,Leviticus 12,Psalm 73
Day 38,Exodus 19-20,Leviticus 13,Psalm 74
Day 39,Exodus 21,Leviticus 14,Psalm 75
Day 40,Exodus 22,Leviticus 15,Psalm 76
Day 41,Exodus 23,Leviticus 16,Psalm 77
Day 42,Exodus 24,Leviticus 17-18,Psalm 78
Day 43,Exodus 25-26,Leviticus 19,Psalm 119:1-56
Day 44,Exodus 27-28,Leviticus 20,Psalm 119:57-120
Day 45,Exodus 29,Leviticus 21,Psalm 119:121-176
Day 46,Exodus 30-31,Leviticus 22,Psalm 115
Day 47,Exodus 32,Leviticus 23,Psalm 79
Day 48,Exodus 33-34,Leviticus 24,Psalm 80
Day 49,Exodus 35-36,Leviticus 25,Psalm 81
Day 50,Exodus 37-38,Leviticus 26,Psalm 82
Day 51,Exodus 39-40,Leviticus 27,Psalm 83
Day 52,Numbers 1,Deuteronomy 1,Psalm 84
Day 53,Numbers 2,Deuteronomy 2,Psalm 85
Day 54,Numbers 3,Deuteronomy 3,Psalm 87
Day 55,Numbers 4,Deuteronomy 4,Psalm 88
Day 56,Numbers 5,Deuteronomy 5,Psalm 90
Day 57,Numbers 6,Deuteronomy 6,Psalm 91
Day 58,Numbers 7,Deuteronomy 7,Psalm 92
Day 59,Numbers 8-9,Deuteronomy 8,Psalm 93
Day 60,Numbers 10,Deuteronomy 9,Psalm 10
Day 61,Numbers 11,Deuteronomy 10,Psalm 33
Day 62,Numbers 12-13,Deuteronomy 11,Psalm 94
Day 63,Numbers 14,Deuteronomy 12,Psalm 95
Day 64,Numbers 15,Deuteronomy 13-14,Psalm 96
Day 65,Numbers 16,Deuteronomy 15-16,Psalm 97
Day 66,Numbers 17,Deuteronomy 17-18,Psalm 98
Day 67,Numbers 18,Deuteronomy 19-20,Psalm 99
Day 68,Numbers 19-20,Deuteronomy 21,Psalm 100
Day 69,Numbers 21,Deuteronomy 22,Psalm 102
Day 70,Numbers 22,Deuteronomy 23,Psalm 105
Day 71,Numbers 23,Deuteronomy 24-25,Psalm 106
Day 72,Numbers 24-25,Deuteronomy 26,Psalm 107
Day 73,Numbers 26,Deuteronomy 27,Psalm 111
Day 74,Numbers 27-28,Deuteronomy 28,Psalm 112
Day 75,Numbers 29-30,Deuteronomy 29,Psalm 113
Day 76,Numbers 31,Deuteronomy 30,Psalm 116
Day 77,Numbers 32,Deuteronomy 31,Psalm 117
Day 78,Numbers 33,Deuteronomy 32,Psalm 118
Day 79,Numbers 34,Deuteronomy 33,Psalm 120
Day 80,Numbers 35-36,Deuteronomy 34,Psalm 121
Day 81,Joshua 1-4,,Psalm 123
Day 82,Joshua 5-7,,Psalm 125
Day 83,Joshua 8-9,,Psalm 126
Day 84,Joshua 10-11,,Psalm 128
Day 85,Joshua 12-14,,Psalm 129
Day 86,Joshua 15-18,,Psalm 130
Day 87,Joshua 19-21,,Psalm 131
Day 88,Joshua 22-24,,Psalm 132
Day 89,Judges 1-3,Ruth 1,Psalm 133
Day 90,Judges 4-5,Ruth 2,Psalm 134
Day 91,Judges 6-8,Ruth 3,Psalm 135
Day 92,Judges 9-11,Ruth 4,Psalm 137
Day 93,Judges 12-15,,Psalm 146
Day 94,Judges 16-18,,Psalm 147
Day 95,Judges 19-21,,Psalm 148
Day 96,1 Samuel 1-2,,Psalm 149
Day 97,1 Samuel 3-5,,Psalm 150
Day 98,1 Samuel 6-8,,Psalm 86
Day 99,John 1-3,,Proverbs 5:1-6
Day 100,John 4-6,,Proverbs 5:7-14
Day 101,John 7-9,,Proverbs 5:15-23
Day 102,John 10-12,,Proverbs 6:1-5
Day 103,John 13-15,,Proverbs 6:6-11
Day 104,John 16-18,,Proverbs 6:12-15
Day 105,John 19-21,,Proverbs 6:16-22
Day 106,1 Samuel 9-10,,Proverbs 6:23-35
Day 107,1 Samuel 11-12,,Psalm 55
Day 108,1 Samuel 13-14,,Psalm 58
Day 109,1 Samuel 15-16,,Psalm 61
Day 110,1 Samuel 17,,Psalm 12
Day 111,1 Samuel 18-19,,Psalm 59
Day 112,1 Samuel 20,,Psalm 142
Day 113,1 Samuel 21-22,,Psalm 52
Day 114,1 Samuel 23,,Psalm 54
Day 115,1 Samuel 24,,Psalm 57
Day 116,1 Samuel 25,,Psalm 63
Day 117,1 Samuel 26,,Psalm 56
Day 118,1 Samuel 27-28,,Psalm 34
Day 119,1 Samuel 29-31,,Psalm 18
Day 120,2 Samuel 1,1 Chronicles 1,Psalm 13
Day 121,2 Samuel 2,1 Chronicles 2,Psalm 24
Day 122,2 Samuel 3,1 Chronicles 3-4,Psalm 25
Day 123,2 Samuel 4,1 Chronicles 5-6,Psalm 26
Day 124,2 Samuel 5,1 Chronicles 7-8,Psalm 27
Day 125,2 Samuel 6-7,1 Chronicles 9,Psalm 89
Day 126,2 Samuel 8,1 Chronicles 10-11,Psalm 60
Day 127,2 Samuel 9,1 Chronicles 12,Psalm 28
Day 128,2 Samuel 10,1 Chronicles 13,Psalm 31
Day 129,2 Samuel 11,1 Chronicles 14-15,Psalm 32
Day 130,2 Samuel 12,1 Chronicles 16,Psalm 51
Day 131,2 Samuel 13,1 Chronicles 17,Psalm 35
Day 132,2 Samuel 14,1 Chronicles 18,Psalm 14
Day 133,2 Samuel 15,1 Chronicles 19-20,Psalm 3
Day 134,2 Samuel 16,1 Chronicles 21,Psalm 15
Day 135,2 Samuel 17,1 Chronicles 22,Psalm 36
Day 136,2 Samuel 18,1 Chronicles 23,Psalm 37
Day 137,2 Samuel 19,1 Chronicles 24,Psalm 38
Day 138,2 Samuel 20,1 Chronicles 25,Psalm 39
Day 139,2 Samuel 21,1 Chronicles 26,Psalm 40
Day 140,2 Samuel 22,1 Chronicles 27,Psalm 41
Day 141,2 Samuel 23,1 Chronicles 28,Psalm 42
Day 142,2 Samuel 24,1 Chronicles 29,Psalm 30
Day 143,1 Kings 1,2 Chronicles 1,Psalm 43
Day 144,1 Kings 2,2 Chronicles 2-3,Psalm 62
Day 145,1 Kings 3,2 Chronicles 4-5,Psalm 64
Day 146,1 Kings 4,2 Chronicles 6,Psalm 65
Day 147,1 Kings 5,2 Chronicles 7-8,Psalm 66
Day 148,1 Kings 6,2 Chronicles 9,Psalm 4
Day 149,1 Kings 7,Ecclesiastes 1-2,Psalm 5
Day 150,1 Kings 8,Ecclesiastes 3-5,Psalm 6
Day 151,1 Kings 9,Ecclesiastes 6-7,Psalm 7
Day 152,1 Kings 10,Ecclesiastes 8-9,Psalm 8
Day 153,1 Kings 11,Ecclesiastes 10-12,Psalm 9
Day 154,Mark 1-2,,Psalm 11
Day 155,Mark 3-4,,Psalm 20
Day 156,Mark 5-6,,Psalm 21
Day 157,Mark 7-8,,Psalm 23
Day 158,Mark 9-10,,Psalm 29
Day 159,Mark 11-12,,Psalm 67
Day 160,Mark 13-14,,Psalm 68
Day 161,Mark 15-16,,Psalm 22
Day 162,1 Kings 12,2 Chronicles 10-11,Song of Solomon 1
Day 163,1 Kings 13,2 Chronicles 12-13,Song of Solomon 2
Day 164,1 Kings 14,2 Chronicles 14-15,Song of Solomon 3
Day 165,1 Kings 15-16,2 Chronicles 16-17,Song of Solomon 4
Day 166,1 Kings 17-18,2 Chronicles 18-19,Song of Solomon 5
Day 167,1 Kings 19-20,2 Chronicles 20,Song of Solomon 6
Day 168,1 Kings 21,2 Chronicles 21-22,Song of Solomon 7
Day 169,1 Kings 22,2 Chronicles 23,Song of Solomon 8
Day 170,2 Kings 1,2 Chronicles 24,Psalm 69
Day 171,2 Kings 2,2 Chronicles 25,Psalm 70
Day 172,2 Kings 3,2 Chronicles 26-27,Psalm 72
Day 173,2 Kings 4,2 Chronicles 28,Psalm 127
Day 174,2 Kings 5,Hosea 1-3,Psalm 101
Day 175,2 Kings 6-7,Hosea 4-7,Psalm 103
Day 176,2 Kings 8,Hosea 8-10,Psalm 108
Day 177,2 Kings 9,Hosea 11-14,Psalm 109
Day 178,2 Kings 10,Amos 1-3,Psalm 110
Day 179,2 Kings 11-12,Amos 4-6,Psalm 122
Day 180,2 Kings 13-14,Amos 7-9,Psalm 124
Day 181,2 Kings 15,Jonah 1-4,Psalm 138
Day 182,2 Kings 16,Micah 1-4,Psalm 139
Day 183,2 Kings 17,Micah 5-7,Psalm 140
Day 184,2 Kings 18,2 Chronicles 29,Psalm 141
Day 185,2 Kings 19,2 Chronicles 30,Psalm 143
Day 186,2 Kings 20,2 Chronicles 31,Psalm 144
Day 187,2 Kings 21,2 Chronicles 32,Psalm 145
Day 188,2 Kings 22,2 Chronicles 33,Proverbs 7
Day 189,2 Kings 23,2 Chronicles 34,Proverbs 8:1-21
Day 190,2 Kings 24,2 Chronicles 35,Proverbs 8:22-36
Day 191,2 Kings 25,2 Chronicles 36,Proverbs 9:1-6
Day 192,Isaiah 1-2,Tobit 1-2,Proverbs 9:7-12
Day 193,Isaiah 3-4,Tobit 3-4,Proverbs 9:13-18
Day 194,Isaiah 5-6,Tobit 5-6,Proverbs 10:1-4
Day 195,Isaiah 7-8,Tobit 7-9,Proverbs 10:5-8
Day 196,Isaiah 9-10,Tobit 10-12,Proverbs 10:9-12
Day 197,Isaiah 11-13,Tobit 13-14,Proverbs 10:13-16
Day 198,Isaiah 14-15,Joel 1-2,Proverbs 10:17-20
Day 199,Isaiah 16-17,Joel 3,Proverbs 10:21-24
Day 200,Isaiah 18-20,Nahum 1-2,Proverbs 10:25-28
Day 201,Isaiah 21-22,Nahum 3,Proverbs 10:29-32
Day 202,Isaiah 23-24,Habakkuk 1-2,Proverbs 11:1-4
Day 203,Isaiah 25-27,Habakkuk 3,Proverbs 11:5-8
Day 204,Isaiah 28-29,Zephaniah 1-2,Proverbs 11:9-12
Day 205,Isaiah 30-31,Zephaniah 3,Proverbs 11:13-16
Day 206,Isaiah 32-33,Baruch 1-2,Proverbs 11:17-20
Day 207,Isaiah 34-36,Baruch 3-4,Proverbs 11:21-24
Day 208,Isaiah 37-38,Baruch 5-6,Proverbs 11:25-28
Day 209,Isaiah 39-40,Ezekiel 1,Proverbs 11:29-31
Day 210,Isaiah 41-42,Ezekiel 2-3,Proverbs 12:1-4
Day 211,Isaiah 43-44,Ezekiel 4-5,Proverbs 12:5-8
Day 212,Isaiah 45-46,Ezekiel 6-7,Proverbs 12:9-12
Day 213,Isaiah 47-48,Ezekiel 8-9,Proverbs 12:13-16
Day 214,Isaiah 49-50,Ezekiel 10-11,Proverbs 12:17-20
Day 215,Isaiah 51-52,Ezekiel 12-13,Proverbs 12:21-24
Day 216,Isaiah 53-54,Ezekiel 14-15,Proverbs 12:25-28
Day 217,Isaiah 55-56,Ezekiel 16,Proverbs 13:1-4
Day 218,Isaiah 57-58,Ezekiel 17-18,Proverbs 13:5-8
Day 219,Isaiah 59-60,Ezekiel 19,Proverbs 13:9-12
Day 220,Isaiah 61-62,Ezekiel 20,Proverbs 13:13-16
Day 221,Isaiah 63-64,Ezekiel 21-22,Proverbs 13:17-20
Day 222,Isaiah 65,Ezekiel 23-24,Proverbs 13:21-25
Day 223,Isaiah 66,Ezekiel 25-26,Proverbs 14:1-4
Day 224,Jeremiah 1,Ezekiel 27,Proverbs 14:5-8
Day 225,Jeremiah 2,Ezekiel 28,Proverbs 14:9-12
Day 226,Jeremiah 3,Ezekiel 29-30,Proverbs 14:13-16
Day 227,Jeremiah 4,Ezekiel 31-32,Proverbs 14:17-20
Day 228,Jeremiah 5,Ezekiel 33,Proverbs 14:21-24
Day 229,Jeremiah 6,Ezekiel 34-35,Proverbs 14:25-28
Day 230,Jeremiah 7,Ezekiel 36,Proverbs 14:29-32
Day 231,Jeremiah 8,Ezekiel 37-38,Proverbs 14:33-35
Day 232,Jeremiah 9,Ezekiel 39,Proverbs 15:1-4
Day 233,Jeremiah 10-11,Ezekiel 40,Proverbs 15:5-8
Day 234,Jeremiah 12-13,Ezekiel 41-42,Proverbs 15:9-12
Day 235,Jeremiah 14-15,Ezekiel 43-44,Proverbs 15:13-16
Day 236,Jeremiah 16-17,Ezekiel 45-46,Proverbs 15:17-20
Day 237,Jeremiah 18-19,Ezekiel 47-48,Proverbs 15:21-24
Day 238,Jeremiah 20-21,Daniel 1-2,Proverbs 15:25-28
Day 239,Jeremiah 22,Daniel 3,Proverbs 15:29-33
Day 240,Jeremiah 23,Daniel 4-5,Proverbs 16:1-4
Day 241,Jeremiah 24-25,Daniel 6-7,Proverbs 16:5-8
Day 242,Jeremiah 26-27,Daniel 8-9,Proverbs 16:9-12
Day 243,Jeremiah 28-29,Daniel 10-11,Proverbs 16:13-16
Day 244,Jeremiah 30,Daniel 12-13,Proverbs 16:17-20
Day 245,Jeremiah 31,Daniel 14,Proverbs 16:21-24
Day 246,Jeremiah 32,Judith 1-2,Proverbs 16:25-28
Day 247,Jeremiah 33-34,Judith 3-5,Proverbs 16:29-33
Day 248,Jeremiah 35-36,Judith 6-7,Proverbs 17:1-4
Day 249,Jeremiah 37-38,Judith 8-9,Proverbs 17:5-8
Day 250,Jeremiah 39-40,Judith 10-11,Proverbs 17:9-12
Day 251,Jeremiah 41-42,Judith 12-14,Proverbs 17:13-16
Day 252,Jeremiah 43-44,Judith 15-16,Proverbs 17:17-20
Day 253,Jeremiah 45-46,Lamentations 1,Proverbs 17:21-28
Day 254,Jeremiah 47-48,Lamentations 2,Proverbs 18:1-4
Day 255,Jeremiah 49-50,Lamentations 3,Proverbs 18:5-8
Day 256,Jeremiah 51,Lamentations 4-5,Proverbs 18:9-12
Day 257,Jeremiah 52,Obadiah 1,Proverbs 18:13-16
Day 258,Matthew 1-4,,Proverbs 18:17-20
Day 259,Matthew 5-7,,Proverbs 18:21-24
Day 260,Matthew 8-10,,Proverbs 19:1-4
Day 261,Matthew 11-13,,Proverbs 19:5-8
Day 262,Matthew 14-17,,Proverbs 19:9-12
Day 263,Matthew 18-21,,Proverbs 19:13-16
Day 264,Matthew 22-24,,Proverbs 19:17-20
Day 265,Matthew 25-26,,Proverbs 19:21-24
Day 266,Matthew 27-28,,Proverbs 19:25-29
Day 267,Ezra 1-2,Haggai 1-2,Proverbs 20:1-3
Day 268,Ezra 3-4,Zechariah 1-3,Proverbs 20:4-7
Day 269,Ezra 5-6,Zechariah 4-6,Proverbs 20:8-11
Day 270,Ezra 7-8,Zechariah 7-8,Proverbs 20:12-15
Day 271,Ezra 9-10,Zechariah 9-11,Proverbs 20:16-19
Day 272,Nehemiah 1-2,Zechariah 12-13,Proverbs 20:20-22
Day 273,Nehemiah 3,Zechariah 14,Proverbs 20:23-26
Day 274,Nehemiah 4-5,Esther 11-12,Proverbs 20:27-30
Day 275,Nehemiah 6-7,Esther 1-2,Proverbs 21:1-4
Day 276,Nehemiah 8,"Esther 3, 13",Proverbs 21:5-8
Day 277,Nehemiah 9,"Esther 4, 14",Proverbs 21:9-12
Day 278,Nehemiah 10,"Esther 15, 6-7",Proverbs 21:13-16
Day 279,Nehemiah 11,"Esther 8,16",Proverbs 21:17-20
Day 280,Nehemiah 12,Esther 9-11,Proverbs 21:21-24
Day 281,Nehemiah 13,Malachi 1-4,Proverbs 21:25-28
Day 282,1 Maccabees 1,Sirach 1-3,Proverbs 21:29-31
Day 283,1 Maccabees 2,Sirach 4-6,Proverbs 22:1-4
Day 284,1 Maccabees 3,Sirach 7-9,Proverbs 22:5-8
Day 285,1 Maccabees 4,Sirach 10-12,Proverbs 22:9-12
Day 286,1 Maccabees 5,Sirach 13-15,Proverbs 22:13-16
Day 287,1 Maccabees 6,Sirach 16-18,Proverbs 22:17-21
Day 288,1 Maccabees 7,Sirach 19-21,Proverbs 22:22-25
Day 289,1 Maccabees 8,Sirach 22-23,Proverbs 22:26-29
Day 290,1 Maccabees 9,Sirach 24-25,Proverbs 23:1-4
Day 291,1 Maccabees 10,Sirach 26-27,Proverbs 23:5-8
Day 292,1 Maccabees 11,Sirach 28-29,Proverbs 23:9-12
Day 293,1 Maccabees 12,Sirach 30-31,Proverbs 23:13-16
Day 294,1 Maccabees 13,Sirach 32-33,Proverbs 23:17-21
Day 295,1 Maccabees 14,Sirach 34-35,Proverbs 23:22-25
Day 296,1 Maccabees 15,Sirach 36-37,Proverbs 23:26-28
Day 297,1 Maccabees 16,Sirach 38-39,Proverbs 23:29-35
Day 298,2 Maccabees 1,Sirach 40-41,Proverbs 24:1-7
Day 299,2 Maccabees 2,Sirach 42-44,Proverbs 24:8-9
Day 300,2 Maccabees 3,Sirach 45-46,Proverbs 24:10-12
Day 301,2 Maccabees 4,Sirach 47-49,Proverbs 24:13-16
Day 302,2 Maccabees 5,Sirach 50-51,Proverbs 24:17-20
Day 303,2 Maccabees 6,Wisdom 1-2,Proverbs 24:21-26
Day 304,2 Maccabees 7,Wisdom 3-4,Proverbs 24:27-29
Day 305,2 Maccabees 8,Wisdom 5-6,Proverbs 24:30-34
Day 306,2 Maccabees 9,Wisdom 7-8,Proverbs 25:1-3
Day 307,2 Maccabees 10,Wisdom 9-10,Proverbs 25:4-7
Day 308,2 Maccabees 11,Wisdom 11-12,Proverbs 25:8-10
Day 309,2 Maccabees 12,Wisdom 13-14,Proverbs 25:11-14
Day 310,2 Maccabees 13,Wisdom 15-16,Proverbs 25:15-17
Day 311,2 Maccabees 14,Wisdom 17-18,Proverbs 25:18-20
Day 312,2 Maccabees 15,Wisdom 19,Proverbs 25:21-23
Day 313,Luke 1-2,,Proverbs 25:24-26
Day 314,Luke 3-5,,Proverbs 25:27-28
Day 315,Luke 6-8,,Proverbs 26:1-3
Day 316,Luke 9-10,,Proverbs 26:4-6
Day 317,Luke 11-12,,Proverbs 26:7-9
Day 318,Luke 13-16,,Proverbs 26:10-12
Day 319,Luke 17-19,,Proverbs 26:13-16
Day 320,Luke 20-22:38,,Proverbs 26:17-19
Day 321,Luke 22:39-24,,Proverbs 26:20-23
Day 322,Acts 1,Romans 1,Proverbs 26:24-26
Day 323,Acts 2,Romans 2-3,Proverbs 26:27-28
Day 324,Acts 3,Romans 4-5,Proverbs 27:1-3
Day 325,Acts 4,Romans 6-7,Proverbs 27:4-6
Day 326,Acts 5,Romans 8,Proverbs 27:7-9
Day 327,Acts 6,Romans 9-10,Proverbs 27:10-12
Day 328,Acts 7,Romans 11-12,Proverbs 27:13-14
Day 329,Acts 8,Romans 13-14,Proverbs 27:15-17
Day 330,Acts 9,Romans 15-16,Proverbs 27:18-20
Day 331,Acts 10,1 Corinthians 1-2,Proverbs 27:21-22
Day 332,Acts 11,1 Corinthians 3-4,Proverbs 27:23-27
Day 333,Acts 12,1 Corinthians 5-6,Proverbs 28:1-3
Day 334,Acts 13,1 Corinthians 7-8,Proverbs 28:4-6
Day 335,Acts 14,1 Corinthians 9-10,Proverbs 28:7-9
Day 336,Acts 15,1 Corinthians 11-12,Proverbs 28:10-12
Day 337,Acts 16,1 Corinthians 13-14,Proverbs 28:13-15
Day 338,Acts 17,1 Corinthians 15,Proverbs 28:16-18
Day 339,Acts 18,1 Corinthians 16,Proverbs 28:19-21
Day 340,Acts 19,2 Corinthians 1-2,Proverbs 28:22-24
Day 341,Acts 20,2 Corinthians 3-5,Proverbs 28:25-28
Day 342,Acts 21,2 Corinthians 6-8,Proverbs 29:1-4
Day 343,Acts 22,2 Corinthians 9-11,Proverbs 29:5-7
Day 344,Acts 23,2 Corinthians 12-13,Proverbs 29:8-11
Day 345,Acts 24,Galatians 1-3,Proverbs 29:12-14
Day 346,Acts 25,Galatians 4-6,Proverbs 29:15-17
Day 347,Acts 26,Ephesians 1-3,Proverbs 29:18-21
Day 348,Acts 27,Ephesians 4-6,Proverbs 29:22-24
Day 349,Acts 28,Philippians 1-2,Proverbs 29:25-27
Day 350,James 1-2,Philippians 3-4,Proverbs 30: 1-6
Day 351,James 3-5,Colossians 1-2,Proverbs 30:7-9
Day 352,1 Peter 1-2,Colossians 3-4,Proverbs 30:10-14
Day 353,1 Peter 3-5,1 Thessalonians 1-3,Proverbs 30:15-16
Day 354,2 Peter 1-3,1 Thessalonians 4-5,Proverbs 30:17-19
Day 355,1 John 1-3,2 Thessalonians 1-3,Proverbs 30:20-23
Day 356,1 John 4-5,1 Timothy 1-3,Proverbs 30:24-28
Day 357,"2 John, 3 John",1 Timothy 4-6,Proverbs 30:29-33
Day 358,Jude,2 Timothy 1-2,Proverbs 31: 1-7
Day 359,Revelation 1-3,2 Timothy 3-4,Proverbs 31:8-9
Day 360,Revelation 4-7,Titus 1-3,Proverbs 31:10-15
Day 361,Revelation 8-11,Philemon,Proverbs 31:16-18
Day 362,Revelation 12-14,Hebrews 1-4,Proverbs 31:19-22
Day 363,Revelation 15-17,Hebrews 5-8,Proverbs 31:23-25
Day 364,Revelation 18-20,Hebrews 9-10,Proverbs 31:26-29
Day 365,Revelation 21-22,Hebrews 11-13,Proverbs 31:30-31
